artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,label,align_file
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro (Live)",167.293,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05811.mid",https://www.youtube.com/watch?v=Xh2euwAeDgw,160,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05811_infer_corresp.txt"
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto (Allegro) [Live]",173.533,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05812.mid",https://www.youtube.com/watch?v=w03njxwWul0,160,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05812_infer_corresp.txt"
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: III. Menuetto: Allegro",175.56,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05813.mid",https://www.youtube.com/watch?v=3_nWHjRc88Y,160,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05813_infer_corresp.txt"
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: III. Menuetto: Allegro",173.56,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05814.mid",https://www.youtube.com/watch?v=ZxeTWE1NCaA,160,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05814_infer_corresp.txt"
Daniel Barenboim,2,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",174.84,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05821.mid",https://www.youtube.com/watch?v=JLb7xotkrXA,80,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05821_infer_corresp.txt"
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",189.346,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05822.mid",https://www.youtube.com/watch?v=1Gvd1JJBMdc,80,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05822_infer_corresp.txt"
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro (Live)",163.84,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05823.mid",https://www.youtube.com/watch?v=636QoqzW-KM,80,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05823_infer_corresp.txt"
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: 3. Menuetto. Allegro",175.8,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05824.mid",https://www.youtube.com/watch?v=Mb9ewBiq1-o,80,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05824_infer_corresp.txt"
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 3. Menuetto (Allegro)",172.13299999999995,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05825.mid",https://www.youtube.com/watch?v=BalJo_TYEyw,80,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05825_infer_corresp.txt"
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",175.546,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05826.mid",https://www.youtube.com/watch?v=fR3BtiCzxeg,40,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05826_infer_corresp.txt"
Claudio Arrau,1,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",175.613,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05827.mid",https://www.youtube.com/watch?v=sJdnnoLI9fY,40,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05827_infer_corresp.txt"
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",179.0,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05828.mid",https://www.youtube.com/watch?v=9Z0nrjQ--lo,40,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05828_infer_corresp.txt"
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",187.0,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05829.mid",https://www.youtube.com/watch?v=CSiejmkUJqA,40,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05829_infer_corresp.txt"
Alfred Brendel,0,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",172.0,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05834.mid",https://www.youtube.com/watch?v=cPQSrT4tbiY,0,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05834_infer_corresp.txt"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",167.16,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05835.mid",https://www.youtube.com/watch?v=GedShIibrNo,0,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05835_infer_corresp.txt"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",165.52,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05836.mid",https://www.youtube.com/watch?v=Posai3nMc-s,0,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05836_infer_corresp.txt"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",173.493,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05837.mid",https://www.youtube.com/watch?v=USG93OoUDKs,0,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05837_infer_corresp.txt"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",174.493,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05838.mid",https://www.youtube.com/watch?v=bycvdVSfSvA,0,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05838_infer_corresp.txt"
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",173.50599999999997,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05839.mid",https://www.youtube.com/watch?v=qi_yGVGl_wk,120,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05839_infer_corresp.txt"
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",179.44,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05840.mid",https://www.youtube.com/watch?v=2I8BhINS28Y,120,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05840_infer_corresp.txt"
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",166.0,Ludwig van Beethoven,1165,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05841.mid",https://www.youtube.com/watch?v=dwKrrqVnEAc,200,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05841_infer_corresp.txt"
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",225.026,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05844.mid",https://www.youtube.com/watch?v=LTAGRmxh2iE,161,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05844_infer_corresp.txt"
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo (Allegro) [Live]",233.053,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05845.mid",https://www.youtube.com/watch?v=9WyOYNQVLH0,161,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05845_infer_corresp.txt"
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro (Live)",252.306,Ludwig van Beethoven,1166,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05846.mid",https://www.youtube.com/watch?v=VvQNDsXmdY4,161,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05846_infer_corresp.txt"
